股票代码_Stkcd,日收益率_Dret,滞后一期收益,市盈率_PE,市净率_PB,市销率_PS,每股收益(摊薄)(元/股)_EPS,净资产收益率(摊薄)_ROE,每股营业利润(元/股)_OpPrfPS,每股净资产(元/股)_NAPS,每股营业收入_IncomePS
000672,0.0114,-0.029,9.11,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.029,0.0063,9.38,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0063,0.028,9.32,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.028,-0.0225,9.07,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0225,0.0349,9.27,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0349,0.0307,8.96,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0307,0.0202,8.69,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0202,-0.0069,8.52,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0069,-0.0511,8.58,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0511,-0.0282,9.04,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0282,-0.0242,9.31,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0242,-0.0362,9.54,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0362,0.0561,9.89,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0561,-0.0608,9.37,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0608,-0.0342,9.98,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0342,0.0004,10.33,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0004,0.0605,10.32,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0605,0.0146,9.74,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0146,0.1002,9.6,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.1002,-0.0432,8.72,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0432,0.0501,9.12,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0501,0.0498,8.68,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0498,-0.0193,8.27,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0193,0.0032,8.43,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0032,-0.0043,8.4,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0043,0.0049,8.44,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0049,0,8.4,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0,-0.0086,8.4,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0086,0.0263,8.47,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0263,0.023,8.26,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.023,0.0102,8.07,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0102,0.0173,7.99,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0173,-0.0258,7.85,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0258,0.092,8.06,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.092,-0.0079,7.38,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0079,0.0086,7.44,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0086,0.0031,7.38,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0031,0.0457,7.35,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0457,-0.1002,7.03,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.1002,-0.0485,7.82,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0485,-0.0022,8.21,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0022,-0.0386,8.23,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0386,0.0027,8.56,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0027,-0.0177,8.54,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0177,0,8.69,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0,-0.0005,8.69,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0005,-0.0189,8.7,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0189,0.014,8.87,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.014,0.0398,8.74,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0398,0.0254,8.41,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0254,-0.0179,8.2,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0179,0.0193,8.35,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0193,-0.0115,8.19,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0115,-0.0097,8.29,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0097,0.0104,8.37,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0104,0.0475,7.1,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0475,0.0331,6.78,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0331,-0.0186,6.56,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0186,0.0118,6.69,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0118,0.0071,6.61,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0071,0.0132,6.56,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0132,-0.0006,6.48,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0006,-0.0142,6.48,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0142,0.0036,6.58,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0036,-0.01,6.55,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.01,0.021,6.62,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.021,0.0048,6.48,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0048,0.0079,6.45,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,0.0079,-0.0249,6.4,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
000672,-0.0249,0.012,6.56,2.38,2.06,1.89,33.4965,2.59,5.65,5.63
